league_name,leagueLogoId
Albania 1.,260
Argentina 1.,112
Argentina 2.,8965
Armenia 1.,118
Australia 1.,113
Austria 1.,38
Austria 2.,119
Azerbaijan 1.,262
Belgium 1.,40
Belgium 2.,264
Bolivia 1.,144
Bosnia 1.,267
Brazil 1.,268
Brazil 2.,8814
Brazil 3.,8971
Brazil 4.,268
Bulgaria 1.,270
Canada 1.,9986
Chile 1.,273
China 1.,120
Colombia 1.,274
Colombia 2.,9125
Costa Rica 1.,121
Croatia 1.,252
Cyprus 1.,136
Cyprus 2.,9100
Czech 1.,122
Czech 2.,235
Czech 3.,122
Denmark 1.,46
Denmark 2.,85
Denmark 3.,239
Denmark 4.,46
Ecuador 1.,246
Egypt 1.,519
England 1.,47
England 2.,48
England 3.,108
England 4.,109
England 5.,117
England 6.,8944
England 7.,9084
Estonia 1.,248
Faroe Islands 1.,250
Finland 1.,51
France 1.,53
France 2.,110
France 3.,8970
Georgia 1.,439
Germany 1.,54
Germany 2.,146
Germany 3.,208
Germany 4.,512
Germany 5.,54
Germany 6.,54
Greece 1.,135
Greece 2.,8815
Hungary 1.,212
Hungary 2.,9117
Iceland 1.,215
Ireland 1.,185
Ireland 2.,218
Israel 1.,127
Israel 2.,128
Italy 1.,55
Italy 2.,86
Italy 3.,147
Italy 5.,55
Japan 1.,223
Japan 2.,8974
Kazakhstan 1.,225
Korea 1.,9080
Korea 2.,9116
Latvia 1.,226
Lithuania 1.,228
Mexico 1.,230
Moldova 1.,231
Montenegro 1.,232
Morocco 1.,530
Netherlands 1.,57
Netherlands 2.,111
Netherlands 3.,57
Nigeria 1.,533
Northern Ireland 1.,129
Norway 1.,59
Norway 2.,203
Norway 3.,59
Panama 1.,9039
Paraguay 1.,199
Peru 1.,131
Poland 1.,196
Poland 2.,197
Portugal 1.,61
Portugal 2.,185
Portugal 3.,9112
Portugal 4.,10448
Qatar 1.,535
Romania 1.,189
Romania 2.,9113
Russia 1.,63
Saudi 1.,536
Saudi 2.,10721
Scotland 1.,64
Scotland 2.,123
Scotland 3.,124
Serbia 1.,182
Serbia 3.,182
Slovakia 1.,176
Slovakia 2.,8873
Slovenia 1.,173
South Africa 1.,537
Spain 1.,87
Spain 2.,140
Spain 3.,8968
Sweden 1.,67
Sweden 2.,168
Sweden 3.,169
Sweden 4.,67
Switzerland 1.,69
Switzerland 2.,163
Switzerland 3.,69
Tunisia 1.,544
Turkey 1.,71
Turkey 2.,165
UAE 1.,538
USA 1.,130
USA 2.,8972
USA 3.,10282
Ukraine 1.,441
Ukraine 3.,441
Uruguay 1.,161
Uzbekistan 1.,540
Venezuela 1.,339
Wales 1.,116
