teamFotmobId,team_name
1567,Santa Clara
1569,Kocaelispor
1578,UCD
1581,Slaven Belupo
1583,WSG Swarovski Tirol
1588,Levadia
1603,Barry Town United
1626,Remo
1627,Finn Harps
1629,Bray Wanderers
1634,Famalicão
1667,Zalaegerszegi TE
1670,Bohemians 1905
1672,Příbram
1673,Zbrojovka Brno
1675,Radnički Kragujevac
1693,KuPS
1703,Cliftonville
1712,Hradec Králové
1713,Opava
1734,Homburg
1739,Mladost Lučani
1753,Cultural Leonesa
1757,América Mineiro
1773,OH Leuven
1785,UD Oliveirense
1831,Hapoel Rishon LeZion
1832,Maccabi Netanya
1836,Cerro
1838,Progreso
1841,León
1842,Necaxa
1844,Oriente Petrolero
1845,Cienciano
1848,Sporting Cristal
1850,Emelec
1853,Dundalk
1854,St. Patrick's Ath.
1860,Zlín
1862,Aluminij
1889,AVS 
1891,La Serena
1892,Wilstermann
1893,Guaraní
1894,Tolima
1896,Deportivo Táchira
1907,St. Pölten
1915,Liefering
1921,Sturm Graz II
1925,Göztepe
1926,Adana Demirspor
1931,Antalyaspor
1933,İstanbul Başakşehir
1937,Crusaders
1943,Querétaro
1946,Pumas UNAM
1949,Vysočina Jihlava
1952,Rapid Wien II
1954,Wolfsberger AC
1956,Glenavon
1957,Jagiellonia Białystok
1967,Vasalund
2004,Östersunds FK
2014,Norrby
2015,Oskarshamns AIK
2021,Slovácko
2030,First Vienna
2035,Nyíregyháza Spartacus
2088,Fatih Karagümrük
2090,Sarıyer
2095,Ironi Kiryat Shmona
2096,Hapoel Raanana
2097,Maccabi Herzliya
2103,Shamakhi FK
2106,FK Auda
2118,Zhetysu
2120,Kyzyl-Zhar
2125,Kaisar
2127,Ordabasy
2128,Okzhetpes
2134,AEL
2136,Aris
2137,Pafos
2143,LNZ Cherkasy
2165,KA
2166,Rizespor
2171,Primorje
2172,Mura
2182,Lech Poznań
2186,Cracovia Kraków
2193,Connah's Quay
2194,Haverfordwest County
2198,Caernarfon Town
2201,Cork City
2202,Coleraine
2203,Glentoran
2206,Larne
2215,Bnei Yehuda
2216,Torpedo Kutaisi
2217,Dila
2218,Kolkheti Poti
2252,Trans
2254,Junior
2280,Kazincbarcika
2305,KFUM
2349,Atyrau
2361,Gnistan
2378,Athlone Town
2383,Cobh Ramblers
2391,Javor Ivanjica
2393,Bahlinger SC
2404,Hanácká
2406,Pardubice
2433,Blau-Weiß Linz
2437,Podbrezová
2442,Stade Nyonnais
2476,Diósgyőr
2488,Boreham Wood
2517,Quevilly Rouen
2527,The Strongest
2528,Medellín
2529,Al Hilal
2530,Al Ahli
2564,Velbert
4023,Katowice
4024,Raków Częstochowa
4031,Zamora
4032,Mirandés
4033,Sabadell
4047,Hornchurch
4055,Cobresal
4056,Huachipato
4058,Audax Italiano
4062,Coquimbo Unido
4063,Ballymena United
4064,Feirense
4081,Gaziantep
4116,Almere City
4120,Rodez 
4124,Sakaryaspor
4125,Hapoel Nof HaGalil
4126,Enosis
4131,Shamrock Rovers
4137,Olympic Charleroi
4144,Deportivo Cuenca
4146,Kuressaare
4147,Tartu Tammeka
4150,Kapaz
4170,Boulogne
4177,Beijing Guoan
4183,Qingdao Hainiu
4189,Tianjin Tigers
4201,Grorud
4397,Kashima Antlers
4398,RB Omiya Ardija
4399,Tokyo
4401,Atlético Bucaramanga
4402,Envigado
4403,Millonarios
4404,Deportivo Pereira
4405,Deportivo Pasto
4408,Unión Magdalena
4409,Universitario
4410,Alianza Atlético
4412,Sport Boys
4417,Melgar
4424,Miramar Misiones
4425,Albirex Niigata
4426,Shimizu S-Pulse
4427,Oita Trinita
4438,Hammarby Talang
4449,Oulu
4454,Dover Athletic
4493,Levadiakos
4530,Mamelodi Sundowns
